model,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
SVR,A,ST,none,holdout,feature_scaling,A_ST_feature_scaling,70.62397090878021,71.98429622660419,-0.02791884610979989,44.77777527256377,32,8,24,2,1,
RandomForest,A,ST,none,holdout,feature_scaling,A_ST_feature_scaling,62.609485119047605,62.83834708158213,0.21669155644804972,44.67795579882438,32,8,24,2,1,
XGBoost,A,ST,none,holdout,feature_scaling,A_ST_feature_scaling,58.73772430419922,75.58419121967887,-0.13330092488255896,53.88465559362113,32,8,24,2,1,
MLP,A,ST,none,holdout,feature_scaling,A_ST_feature_scaling,48.457282181543064,64.69427776015014,0.1697382315200442,45.47193943830022,32,8,24,2,1,
DummyRegressor,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,46.00336071357373,77.7613971521235,-0.6788882127696385,26.70818936403565,36,9,27,10,10,
Lasso,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,35.14329796436041,41.3205696328452,0.5259476871183225,22.013045688510154,36,9,27,10,10,
ElasticNet,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,27.06774582778623,37.06400834724107,0.6185844104394449,17.313597773414575,36,9,27,10,10,
SVR,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,53.72882655728129,65.37414522994081,-0.1866037511683103,34.94860487631025,36,9,27,10,10,
RandomForest,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,56.158825,67.87993493124588,-0.27931209134327917,37.18069892421092,36,9,27,10,10,
XGBoost,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,56.252793884277345,72.04039832118315,-0.4409399449354965,36.870880506937624,36,9,27,10,10,
MLP,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,36,9,27,10,10,
DummyRegressor,A,CT,none,holdout,feature_scaling,A_CT_random_feature_scaling,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929,32,8,24,2,1,
Ridge,A,CT,random,holdout,feature_scaling,A_CT_random_feature_scaling,21.450510355226164,29.09614136231986,0.8320600194056536,9.259470220899296,32,8,24,2,1,
Lasso,A,CT,random,holdout,feature_scaling,A_CT_random_feature_scaling,39.08766649715365,54.769061898909634,0.40494938677115755,37.745612634716444,32,8,24,2,1,
ElasticNet,A,CT,random,holdout,feature_scaling,A_CT_random_feature_scaling,20.83539460489058,28.2565186105705,0.8416126078179891,8.996136133331335,32,8,24,2,1,
SVR,A,CT,random,holdout,feature_scaling,A_CT_random_feature_scaling,70.70393130462611,71.73626785249164,-0.020847475779493196,45.33988295770912,32,8,24,2,1,
RandomForest,A,CT,random,holdout,feature_scaling,A_CT_random_feature_scaling,63.907011904761916,64.17785013167779,0.182940597594903,45.722207582061955,32,8,24,2,1,
XGBoost,A,CT,random,holdout,feature_scaling,A_CT_random_feature_scaling,64.960693359375,65.01651847686134,0.16144660288592527,44.033716245998555,32,8,24,2,1,
MLP,A,CT,none,holdout,feature_scaling,A_CT_random_feature_scaling,48.457282181543064,64.69427776015014,0.1697382315200442,45.47193943830022,32,8,24,2,1,
DummyRegressor,A,CT,none,loeo,feature_scaling,A_CT_random_feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,58.08193716835363,129.37314696930386,-3.647099321913074,28.211525310053194,36,9,27,10,10,
Lasso,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,35.06539413316634,43.53255669846679,0.4738349239647982,21.590627344180756,36,9,27,10,10,
ElasticNet,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,43.22862779838128,83.94175206315833,-0.95636430104555,22.457191482279928,36,9,27,10,10,
SVR,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,53.114601318649406,65.29922659282337,-0.1838856185904092,34.7796001970245,36,9,27,10,10,
RandomForest,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,56.4104111111111,68.56417573445451,-0.3052334304576907,37.64604968815076,36,9,27,10,10,
XGBoost,A,CT,random,loeo,feature_scaling,A_CT_random_feature_scaling,50.97713928222656,63.71062605082072,-0.12698313063798272,34.34808505805856,36,9,27,10,10,
MLP,A,CT,none,loeo,feature_scaling,A_CT_random_feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,36,9,27,10,10,
DummyRegressor,A,CT,none,holdout,feature_scaling,A_CT_grid_feature_scaling,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929,32,8,24,2,1,
Ridge,A,CT,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,21.450510355226164,29.09614136231986,0.8320600194056536,9.259470220899296,32,8,24,2,1,
Lasso,A,CT,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,39.08766649715365,54.769061898909634,0.40494938677115755,37.745612634716444,32,8,24,2,1,
ElasticNet,A,CT,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,20.83539460489058,28.2565186105705,0.8416126078179891,8.996136133331335,32,8,24,2,1,
SVR,A,CT,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,70.70393130462611,71.73626785249164,-0.020847475779493196,45.33988295770912,32,8,24,2,1,
RandomForest,A,CT,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,63.907011904761916,64.17785013167779,0.182940597594903,45.722207582061955,32,8,24,2,1,
XGBoost,A,CT,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,63.087371826171875,63.45321174691483,0.20128742689966073,41.5855873611296,32,8,24,2,1,
MLP,A,CT,none,holdout,feature_scaling,A_CT_grid_feature_scaling,48.457282181543064,64.69427776015014,0.1697382315200442,45.47193943830022,32,8,24,2,1,
DummyRegressor,A,CT,none,loeo,feature_scaling,A_CT_grid_feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,58.08193716835363,129.37314696930386,-3.647099321913074,28.211525310053194,36,9,27,10,10,
Lasso,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,35.06539413316634,43.53255669846679,0.4738349239647982,21.590627344180756,36,9,27,10,10,
ElasticNet,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,43.22862779838128,83.94175206315833,-0.95636430104555,22.457191482279928,36,9,27,10,10,
SVR,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,53.114601318649406,65.29922659282337,-0.1838856185904092,34.7796001970245,36,9,27,10,10,
RandomForest,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,56.4104111111111,68.56417573445451,-0.30523343045769047,37.64604968815076,36,9,27,10,10,
XGBoost,A,CT,grid,loeo,feature_scaling,A_CT_grid_feature_scaling,52.446633911132814,66.50497234712701,-0.22801000277428862,33.89234129059767,36,9,27,10,10,
MLP,A,CT,none,loeo,feature_scaling,A_CT_grid_feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,36,9,27,10,10,
DummyRegressor,A,ST,none,holdout,grouped_scaling,A_ST_grouped_scaling,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929,32,8,24,2,1,
Ridge,A,ST,none,holdout,grouped_scaling,A_ST_grouped_scaling,19.8770021039995,23.196906323282935,0.8932560081390273,10.341026913191689,32,8,24,2,1,
Lasso,A,ST,none,holdout,grouped_scaling,A_ST_grouped_scaling,36.23401135283528,36.238139053966165,0.7394955917289054,25.137906543592432,32,8,24,2,1,
ElasticNet,A,ST,none,holdout,grouped_scaling,A_ST_grouped_scaling,31.252461078588695,31.254466285137898,0.8062206580502238,21.449541871167195,32,8,24,2,1,
SVR,A,ST,none,holdout,grouped_scaling,A_ST_grouped_scaling,70.62883126707838,71.99451901952777,-0.028210825005583695,44.77320261320457,32,8,24,2,1,
RandomForest,A,ST,none,holdout,grouped_scaling,A_ST_grouped_scaling,60.73594345238094,60.891436581695004,0.26447787165590475,43.102121144574326,32,8,24,2,1,
XGBoost,A,ST,none,holdout,grouped_scaling,A_ST_grouped_scaling,67.81117248535156,77.8232515056521,-0.20143988790160328,57.50064397108585,32,8,24,2,1,
MLP,A,ST,none,holdout,grouped_scaling,A_ST_grouped_scaling,56.87442770559133,72.18591348102959,-0.03368500398545726,51.72317204275164,32,8,24,2,1,
DummyRegressor,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,44.066750006888945,73.20332009565948,-0.4878365636763804,25.74040983782538,36,9,27,10,10,
Lasso,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,33.90907477231404,44.87365117651112,0.4409167446639779,20.066789481238906,36,9,27,10,10,
ElasticNet,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,27.03587644172104,37.98051063313109,0.5994882435874871,17.174476760342607,36,9,27,10,10,
SVR,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,53.631246931476674,65.24517050710853,-0.18192633860817087,34.87739859627544,36,9,27,10,10,
RandomForest,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,55.885895634920644,67.80231768418419,-0.2763881076236534,37.00876589588356,36,9,27,10,10,
XGBoost,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,55.538117218017575,67.79363345820694,-0.27606116502689426,34.92044155482043,36,9,27,10,10,
MLP,A,ST,none,loeo,grouped_scaling,A_ST_grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,36,9,27,10,10,
DummyRegressor,A,CT,none,holdout,grouped_scaling,A_CT_random_grouped_scaling,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929,32,8,24,2,1,
Ridge,A,CT,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,26.55893073661167,27.638079032775774,0.8484698645860028,16.16116710361937,32,8,24,2,1,
Lasso,A,CT,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,42.60128532532654,44.08313570825624,0.6144965574543668,32.563178857339395,32,8,24,2,1,
ElasticNet,A,CT,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,41.58505981488514,41.59332994811307,0.6568131132369371,28.90702383827182,32,8,24,2,1,
SVR,A,CT,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,70.70728196447008,71.74086998828598,-0.020978461947262828,45.34003061275026,32,8,24,2,1,
RandomForest,A,CT,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,61.66535714285713,62.01326620949252,0.2371265252986735,44.364996178776636,32,8,24,2,1,
XGBoost,A,CT,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,64.64462280273438,64.75588406022432,0.16815621495314137,43.506098339669606,32,8,24,2,1,
MLP,A,CT,none,holdout,grouped_scaling,A_CT_random_grouped_scaling,56.87442770559133,72.18591348102959,-0.03368500398545726,51.72317204275164,32,8,24,2,1,
DummyRegressor,A,CT,none,loeo,grouped_scaling,A_CT_random_grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,42.38062829584133,65.86682592159036,-0.20455640462812963,25.721086461125115,36,9,27,10,10,
Lasso,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,34.239888974183074,44.310608998353324,0.4548586719554014,19.782111653013178,36,9,27,10,10,
ElasticNet,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,33.96062247609629,45.37066609561393,0.42846348742959806,22.175461399031978,36,9,27,10,10,
SVR,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,53.07689492831132,65.24318234551029,-0.1818543079969419,34.77950269745597,36,9,27,10,10,
RandomForest,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,59.33841666666666,71.11476303165597,-0.40414903032981253,39.92060113974903,36,9,27,10,10,
XGBoost,A,CT,random,loeo,grouped_scaling,A_CT_random_grouped_scaling,51.877462768554686,64.16572342427469,-0.14314115389178794,34.955221204013796,36,9,27,10,10,
MLP,A,CT,none,loeo,grouped_scaling,A_CT_random_grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,36,9,27,10,10,
DummyRegressor,A,CT,none,holdout,grouped_scaling,A_CT_grid_grouped_scaling,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929,32,8,24,2,1,
Ridge,A,CT,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,26.55893073661167,27.638079032775774,0.8484698645860028,16.16116710361937,32,8,24,2,1,
Lasso,A,CT,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,42.60128532532654,44.08313570825624,0.6144965574543668,32.563178857339395,32,8,24,2,1,
ElasticNet,A,CT,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,41.58505981488514,41.59332994811307,0.6568131132369371,28.90702383827182,32,8,24,2,1,
SVR,A,CT,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,70.70728196447008,71.74086998828598,-0.020978461947262828,45.34003061275026,32,8,24,2,1,
RandomForest,A,CT,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,61.66535714285713,62.01326620949252,0.2371265252986735,44.364996178776636,32,8,24,2,1,
XGBoost,A,CT,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,65.77024841308594,65.99154262242384,0.13610718157365953,43.83053526586416,32,8,24,2,1,
MLP,A,CT,none,holdout,grouped_scaling,A_CT_grid_grouped_scaling,56.87442770559133,72.18591348102959,-0.03368500398545726,51.72317204275164,32,8,24,2,1,
DummyRegressor,A,CT,none,loeo,grouped_scaling,A_CT_grid_grouped_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,42.38062829584133,65.86682592159036,-0.20455640462812963,25.721086461125115,36,9,27,10,10,
Lasso,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,34.239888974183074,44.310608998353324,0.4548586719554014,19.782111653013178,36,9,27,10,10,
ElasticNet,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,33.96062247609629,45.37066609561393,0.42846348742959806,22.175461399031978,36,9,27,10,10,
SVR,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,53.07689492831132,65.24318234551029,-0.1818543079969419,34.77950269745597,36,9,27,10,10,
RandomForest,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,59.33841666666666,71.11476303165597,-0.40414903032981253,39.92060113974903,36,9,27,10,10,
XGBoost,A,CT,grid,loeo,grouped_scaling,A_CT_grid_grouped_scaling,51.972599792480466,64.13317477265558,-0.14198171036929463,34.718379407247255,36,9,27,10,10,
MLP,A,CT,none,loeo,grouped_scaling,A_CT_grid_grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,36,9,27,10,10,
