model,data_branch,tuning_method,augmentation_strategy,branch_id,best_params,best_cv_score_mae,scoring,cv_strategy,notes
DummyRegressor,N,none,none,N_ST,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,N,none,none,N_ST,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,N,none,none,N_ST,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,N,none,none,N_ST,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,N,none,none,N_ST,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,N,none,none,N_ST,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,N,none,none,N_ST,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,N,none,none,N_ST,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,N,none,none,N_CT_random,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,N,random,none,N_CT_random,"{""model__alpha"": 100}",36.91875491489422,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,N,random,none,N_CT_random,"{""model__alpha"": 0.01}",29.987628837403513,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,N,random,none,N_CT_random,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.01}",24.126257393232464,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,N,random,none,N_CT_random,"{""model__gamma"": ""auto"", ""model__epsilon"": 0.1, ""model__C"": 100}",48.181882215734035,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,N,random,none,N_CT_random,"{""model__n_estimators"": 50, ""model__min_samples_leaf"": 1, ""model__max_depth"": 2}",43.737833333333334,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,N,random,none,N_CT_random,"{""model__subsample"": 0.6, ""model__reg_lambda"": 5, ""model__n_estimators"": 100, ""model__max_depth"": 2, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.5}",40.916133117675784,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,N,none,none,N_CT_random,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,N,none,none,N_CT_grid,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,N,grid,none,N_CT_grid,"{""model__alpha"": 100}",36.91875491489422,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,N,grid,none,N_CT_grid,"{""model__alpha"": 0.01}",29.987628837403513,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,N,grid,none,N_CT_grid,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.7}",24.126257393232464,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,N,grid,none,N_CT_grid,"{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""auto""}",48.181882215734035,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,N,grid,none,N_CT_grid,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 50}",43.737833333333334,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,N,grid,none,N_CT_grid,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}",39.14677734375,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,N,none,none,N_CT_grid,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,none,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,A,none,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,A,none,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,A,none,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,A,none,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,A,none,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,A,none,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,feature_noise,A_CT_random_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,random,feature_noise,A_CT_random_feature_noise,"{""model__alpha"": 100}",27.11762928489827,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,A,random,feature_noise,A_CT_random_feature_noise,"{""model__alpha"": 0.01}",26.55655674526766,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,A,random,feature_noise,A_CT_random_feature_noise,"{""model__l1_ratio"": 0.1, ""model__alpha"": 10}",23.65657941123676,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,A,random,feature_noise,A_CT_random_feature_noise,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",48.408735448270384,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,A,random,feature_noise,A_CT_random_feature_noise,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 1, ""model__max_depth"": null}",51.76675,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,A,random,feature_noise,A_CT_random_feature_noise,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",40.458702087402344,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,A,none,feature_noise,A_CT_random_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,feature_noise,A_CT_grid_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,grid,feature_noise,A_CT_grid_feature_noise,"{""model__alpha"": 100}",27.11762928489827,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,A,grid,feature_noise,A_CT_grid_feature_noise,"{""model__alpha"": 0.01}",26.55655674526766,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,A,grid,feature_noise,A_CT_grid_feature_noise,"{""model__alpha"": 10, ""model__l1_ratio"": 0.1}",23.65657941123676,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,A,grid,feature_noise,A_CT_grid_feature_noise,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""auto""}",48.3570024946359,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,A,grid,feature_noise,A_CT_grid_feature_noise,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",51.76675,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,A,grid,feature_noise,A_CT_grid_feature_noise,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 100, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",39.718696975708006,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,A,none,feature_noise,A_CT_grid_feature_noise,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,none,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,A,none,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,A,none,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,A,none,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,A,none,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,A,none,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,A,none,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,feature_scaling,A_CT_random_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,random,feature_scaling,A_CT_random_feature_scaling,"{""model__alpha"": 100}",38.103122455568425,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,A,random,feature_scaling,A_CT_random_feature_scaling,"{""model__alpha"": 1}",39.27687526040084,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,A,random,feature_scaling,A_CT_random_feature_scaling,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}",25.04551834014595,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,A,random,feature_scaling,A_CT_random_feature_scaling,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",48.44347087281509,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,A,random,feature_scaling,A_CT_random_feature_scaling,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 3, ""model__max_depth"": null}",52.558138723776224,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,A,random,feature_scaling,A_CT_random_feature_scaling,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",40.49560966491699,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,A,none,feature_scaling,A_CT_random_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,feature_scaling,A_CT_grid_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,grid,feature_scaling,A_CT_grid_feature_scaling,"{""model__alpha"": 100}",38.103122455568425,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,A,grid,feature_scaling,A_CT_grid_feature_scaling,"{""model__alpha"": 1}",39.27687526040084,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,A,grid,feature_scaling,A_CT_grid_feature_scaling,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}",25.04551834014595,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,A,grid,feature_scaling,A_CT_grid_feature_scaling,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",48.4268046736763,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,A,grid,feature_scaling,A_CT_grid_feature_scaling,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}",52.55813872377621,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,A,grid,feature_scaling,A_CT_grid_feature_scaling,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",39.80056209564209,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,A,none,feature_scaling,A_CT_grid_feature_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,A,none,grouped_scaling,A_ST_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,grouped_scaling,A_CT_random_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__alpha"": 0.01}",35.417052560206514,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__alpha"": 0.01}",32.40494823134729,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}",24.453443817184098,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",48.465052431981924,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 3, ""model__max_depth"": null}",53.1588847055722,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,A,random,grouped_scaling,A_CT_random_grouped_scaling,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",37.73939208984375,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,A,none,grouped_scaling,A_CT_random_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,A,none,grouped_scaling,A_CT_grid_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__alpha"": 0.01}",35.417052560206514,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__alpha"": 0.01}",32.40494823134729,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}",24.453443817184098,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",48.44043952868439,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}",52.784449485930736,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,A,grid,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",38.69866828918457,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,A,none,grouped_scaling,A_CT_grid_grouped_scaling,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
