feature_name,dtype,used_in_model,reason_if_excluded
experiment_id,int64,False,identifier (experiment_id)
tool_id,str,False,"identifier (tool_id, no numerico)"
experiment_order,int64,False,order proxy temporal — excluido por defecto
A_p1_mean,float64,True,
A_p1_std,float64,True,
A_p1_rms,float64,True,
A_p1_max,float64,True,
A_p1_min,float64,True,
A_p1_peak_to_peak,float64,True,
A_p1_skewness,float64,True,
A_p1_kurtosis,float64,True,
A_p1_crest_factor,float64,True,
A_p1_energy,float64,True,
A_p1_absolute_mean,float64,True,
A_p1_duration_s,float64,True,
A_p1_n_samples,int64,True,
A_p1_dominant_freq_hz,float64,True,
A_p1_spectral_energy,float64,True,
A_p1_spectral_centroid_hz,float64,True,
R_p1_mean,float64,True,
R_p1_std,float64,True,
R_p1_rms,float64,True,
R_p1_max,float64,True,
R_p1_min,float64,True,
R_p1_peak_to_peak,float64,True,
R_p1_skewness,float64,True,
R_p1_kurtosis,float64,True,
R_p1_crest_factor,float64,True,
R_p1_energy,float64,True,
R_p1_absolute_mean,float64,True,
R_p1_duration_s,float64,True,
R_p1_n_samples,int64,True,
R_p1_dominant_freq_hz,float64,True,
R_p1_spectral_energy,float64,True,
R_p1_spectral_centroid_hz,float64,True,
A_p2_mean,float64,True,
A_p2_std,float64,True,
A_p2_rms,float64,True,
A_p2_max,float64,True,
A_p2_min,float64,True,
A_p2_peak_to_peak,float64,True,
A_p2_skewness,float64,True,
A_p2_kurtosis,float64,True,
A_p2_crest_factor,float64,True,
A_p2_energy,float64,True,
A_p2_absolute_mean,float64,True,
A_p2_duration_s,float64,True,
A_p2_n_samples,int64,True,
A_p2_dominant_freq_hz,float64,True,
A_p2_spectral_energy,float64,True,
A_p2_spectral_centroid_hz,float64,True,
R_p2_mean,float64,True,
R_p2_std,float64,True,
R_p2_rms,float64,True,
R_p2_max,float64,True,
R_p2_min,float64,True,
R_p2_peak_to_peak,float64,True,
R_p2_skewness,float64,True,
R_p2_kurtosis,float64,True,
R_p2_crest_factor,float64,True,
R_p2_energy,float64,True,
R_p2_absolute_mean,float64,True,
R_p2_duration_s,float64,True,
R_p2_n_samples,int64,True,
R_p2_dominant_freq_hz,float64,True,
R_p2_spectral_energy,float64,True,
R_p2_spectral_centroid_hz,float64,True,
A_p3_mean,float64,True,
A_p3_std,float64,True,
A_p3_rms,float64,True,
A_p3_max,float64,True,
A_p3_min,float64,True,
A_p3_peak_to_peak,float64,True,
A_p3_skewness,float64,True,
A_p3_kurtosis,float64,True,
A_p3_crest_factor,float64,True,
A_p3_energy,float64,True,
A_p3_absolute_mean,float64,True,
A_p3_duration_s,float64,True,
A_p3_n_samples,int64,True,
A_p3_dominant_freq_hz,float64,True,
A_p3_spectral_energy,float64,True,
A_p3_spectral_centroid_hz,float64,True,
R_p3_mean,float64,True,
R_p3_std,float64,True,
R_p3_rms,float64,True,
R_p3_max,float64,True,
R_p3_min,float64,True,
R_p3_peak_to_peak,float64,True,
R_p3_skewness,float64,True,
R_p3_kurtosis,float64,True,
R_p3_crest_factor,float64,True,
R_p3_energy,float64,True,
R_p3_absolute_mean,float64,True,
R_p3_duration_s,float64,True,
R_p3_n_samples,int64,True,
R_p3_dominant_freq_hz,float64,True,
R_p3_spectral_energy,float64,True,
R_p3_spectral_centroid_hz,float64,True,
A_p4_mean,float64,True,
A_p4_std,float64,True,
A_p4_rms,float64,True,
A_p4_max,float64,True,
A_p4_min,float64,True,
A_p4_peak_to_peak,float64,True,
A_p4_skewness,float64,True,
A_p4_kurtosis,float64,True,
A_p4_crest_factor,float64,True,
A_p4_energy,float64,True,
A_p4_absolute_mean,float64,True,
A_p4_duration_s,float64,True,
A_p4_n_samples,int64,True,
A_p4_dominant_freq_hz,float64,True,
A_p4_spectral_energy,float64,True,
A_p4_spectral_centroid_hz,float64,True,
R_p4_mean,float64,True,
R_p4_std,float64,True,
R_p4_rms,float64,True,
R_p4_max,float64,True,
R_p4_min,float64,True,
R_p4_peak_to_peak,float64,True,
R_p4_skewness,float64,True,
R_p4_kurtosis,float64,True,
R_p4_crest_factor,float64,True,
R_p4_energy,float64,True,
R_p4_absolute_mean,float64,True,
R_p4_duration_s,float64,True,
R_p4_n_samples,int64,True,
R_p4_dominant_freq_hz,float64,True,
R_p4_spectral_energy,float64,True,
R_p4_spectral_centroid_hz,float64,True,
A_p5_mean,float64,True,
A_p5_std,float64,True,
A_p5_rms,float64,True,
A_p5_max,float64,True,
A_p5_min,float64,True,
A_p5_peak_to_peak,float64,True,
A_p5_skewness,float64,True,
A_p5_kurtosis,float64,True,
A_p5_crest_factor,float64,True,
A_p5_energy,float64,True,
A_p5_absolute_mean,float64,True,
A_p5_duration_s,float64,True,
A_p5_n_samples,float64,True,
A_p5_dominant_freq_hz,float64,True,
A_p5_spectral_energy,float64,True,
A_p5_spectral_centroid_hz,float64,True,
R_p5_mean,float64,True,
R_p5_std,float64,True,
R_p5_rms,float64,True,
R_p5_max,float64,True,
R_p5_min,float64,True,
R_p5_peak_to_peak,float64,True,
R_p5_skewness,float64,True,
R_p5_kurtosis,float64,True,
R_p5_crest_factor,float64,True,
R_p5_energy,float64,True,
R_p5_absolute_mean,float64,True,
R_p5_duration_s,float64,True,
R_p5_n_samples,float64,True,
R_p5_dominant_freq_hz,float64,True,
R_p5_spectral_energy,float64,True,
R_p5_spectral_centroid_hz,float64,True,
A_p6_mean,float64,True,
A_p6_std,float64,True,
A_p6_rms,float64,True,
A_p6_max,float64,True,
A_p6_min,float64,True,
A_p6_peak_to_peak,float64,True,
A_p6_skewness,float64,True,
A_p6_kurtosis,float64,True,
A_p6_crest_factor,float64,True,
A_p6_energy,float64,True,
A_p6_absolute_mean,float64,True,
A_p6_duration_s,float64,True,
A_p6_n_samples,float64,True,
A_p6_dominant_freq_hz,float64,True,
A_p6_spectral_energy,float64,True,
A_p6_spectral_centroid_hz,float64,True,
R_p6_mean,float64,True,
R_p6_std,float64,True,
R_p6_rms,float64,True,
R_p6_max,float64,True,
R_p6_min,float64,True,
R_p6_peak_to_peak,float64,True,
R_p6_skewness,float64,True,
R_p6_kurtosis,float64,True,
R_p6_crest_factor,float64,True,
R_p6_energy,float64,True,
R_p6_absolute_mean,float64,True,
R_p6_duration_s,float64,True,
R_p6_n_samples,float64,True,
R_p6_dominant_freq_hz,float64,True,
R_p6_spectral_energy,float64,True,
R_p6_spectral_centroid_hz,float64,True,
A_rms_mean_6_contacts,float64,True,
A_rms_std_6_contacts,float64,True,
A_energy_total_6_contacts,float64,True,
R_rms_mean_6_contacts,float64,True,
R_rms_std_6_contacts,float64,True,
R_energy_total_6_contacts,float64,True,
total_energy_6_contacts,float64,True,
A_to_R_rms_ratio,float64,True,
A_to_R_energy_ratio,float64,True,
VC,int64,True,
F,float64,True,
end_of_life,int64,False,"flag derivado del experimento, no feature de senal"
VB_um,int64,False,target
