stage_order,branch_id,family,short_label,model,MAE,RMSE,R2,MAPE_%,delta_MAE_vs_previous_stage,delta_MAE_vs_baseline,interpretation
1,FUSION_N_ST,FUSION·N,1. FUS|N_ST,ElasticNet,26.959668383421967,37.87890222950762,0.6016283372215274,17.038140684518165,0.0,0.0,baseline
2,FUSION_N_CT_random,FUSION·N·tuning,2. FUS|N_CT_random,ElasticNet,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154,0.7035282885651384,0.7035282885651384,vs previous: negligible change (<1 µm)
3,FUSION_N_CT_grid,FUSION·N·tuning,3. FUS|N_CT_grid,ElasticNet,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154,0.0,0.7035282885651384,vs previous: negligible change (<1 µm)
4,FUSION_A_ST_feature_noise,FUSION·A·ST,4. FUS|A_ST_fnoise,ElasticNet,26.92359162845846,37.89671760708791,0.6012535211549672,16.992984657168577,-0.7396050435286448,-0.036076754963506374,vs previous: negligible change (<1 µm)
5,FUSION_A_ST_feature_scaling,FUSION·A·ST,5. FUS|A_ST_fscale,ElasticNet,27.067745827786258,37.06400834724109,0.6185844104394445,17.313597773414603,0.14415419932779727,0.1080774443642909,vs previous: negligible change (<1 µm)
6,FUSION_A_ST_grouped_scaling,FUSION·A·ST,6. FUS|A_ST_gscale,ElasticNet,27.03587644172101,37.9805106331311,0.5994882435874869,17.174476760342568,-0.03186938606524947,0.07620805829904143,vs previous: negligible change (<1 µm)
7,FUSION_A_CT_random_feature_noise,FUSION·A·random,7. FUS|A_CTr_fnoise,Lasso,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837,8.947292137490685,9.023500195789726,vs previous: worsened
8,FUSION_A_CT_random_feature_scaling,FUSION·A·random,8. FUS|A_CTr_fscale,ElasticNet,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,-8.644898388073305,0.3786018077164215,vs previous: improved
9,FUSION_A_CT_random_grouped_scaling,FUSION·A·random,9. FUS|A_CTr_gscale,ElasticNet,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784,1.2934164141108617,1.6720182218272832,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
10,FUSION_A_CT_grid_feature_noise,FUSION·A·grid,10. FUS|A_CTg_fnoise,Lasso,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837,7.351481973962443,9.023500195789726,vs previous: worsened
11,FUSION_A_CT_grid_feature_scaling,FUSION·A·grid,11. FUS|A_CTg_fscale,ElasticNet,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,-8.644898388073305,0.3786018077164215,vs previous: improved
12,FUSION_A_CT_grid_grouped_scaling,FUSION·A·grid,12. FUS|A_CTg_gscale,ElasticNet,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784,1.2934164141108617,1.6720182218272832,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
13,SOLO_A_N_ST,SOLO_A·N,13. SOL|N_ST,ElasticNet,21.630867359730587,29.111669986024804,0.7646967591949286,14.835469160923353,-7.000819245518663,-5.32880102369138,vs previous: improved
14,SOLO_A_N_CT_random,SOLO_A·N·tuning,14. SOL|N_CT_random,ElasticNet,18.78953938123773,25.649826156232233,0.8173319797525787,14.0523711629216,-2.8413279784928562,-8.170129002184236,"vs previous: marginal improvement (<5 µm, not significant with n=10)  ·  BEST OVERALL"
15,SOLO_A_N_CT_grid,SOLO_A·N·tuning,15. SOL|N_CT_grid,ElasticNet,18.78953938123773,25.649826156232233,0.8173319797525787,14.0523711629216,0.0,-8.170129002184236,vs previous: negligible change (<1 µm)
16,SOLO_A_A_ST_feature_noise,SOLO_A·A·ST,16. SOL|A_ST_fnoise,ElasticNet,21.238655974199933,28.6304972868795,0.7724109029666589,14.683730807362139,2.449116592962202,-5.721012409222034,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
17,SOLO_A_A_ST_feature_scaling,SOLO_A·A·ST,17. SOL|A_ST_fscale,Ridge,23.885003115543157,31.3396118683617,0.7273026629000392,16.20636779850405,2.646347141343224,-3.0746652678788102,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
18,SOLO_A_A_ST_grouped_scaling,SOLO_A·A·ST,18. SOL|A_ST_gscale,ElasticNet,23.905328082863953,30.55499579340729,0.7407861953874051,16.65008214698021,0.02032496732079636,-3.054340300558014,vs previous: negligible change (<1 µm)
19,SOLO_A_A_CT_random_feature_noise,SOLO_A·A·random,19. SOL|A_CTr_fnoise,ElasticNet,26.864211235969503,34.46415651711476,0.6702164582637086,18.40042901005931,2.9588831531055497,-0.09545714745246414,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
20,SOLO_A_A_CT_random_feature_scaling,SOLO_A·A·random,20. SOL|A_CTr_fscale,ElasticNet,22.22047010663722,28.68693678667039,0.7715127225823369,17.11798276707304,-4.643741129332284,-4.739198276784748,"vs previous: marginal improvement (<5 µm, not significant with n=10)"
21,SOLO_A_A_CT_random_grouped_scaling,SOLO_A·A·random,21. SOL|A_CTr_gscale,Ridge,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688,0.5194774305682657,-4.219720846216482,vs previous: negligible change (<1 µm)
22,SOLO_A_A_CT_grid_feature_noise,SOLO_A·A·grid,22. SOL|A_CTg_fnoise,ElasticNet,26.864211235969503,34.46415651711476,0.6702164582637086,18.40042901005931,4.124263698764018,-0.09545714745246414,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
23,SOLO_A_A_CT_grid_feature_scaling,SOLO_A·A·grid,23. SOL|A_CTg_fscale,ElasticNet,22.22047010663722,28.68693678667039,0.7715127225823369,17.11798276707304,-4.643741129332284,-4.739198276784748,"vs previous: marginal improvement (<5 µm, not significant with n=10)"
24,SOLO_A_A_CT_grid_grouped_scaling,SOLO_A·A·grid,24. SOL|A_CTg_gscale,Ridge,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688,0.5194774305682657,-4.219720846216482,vs previous: negligible change (<1 µm)
25,SOLO_R_N_ST,SOLO_R·N,25. SOL|N_ST,ElasticNet,30.947568337376413,40.38287131045268,0.5472191401046226,20.522088167744663,8.207620800170929,3.9878999539544466,vs previous: worsened
26,SOLO_R_N_CT_random,SOLO_R·N·tuning,26. SOL|N_CT_random,ElasticNet,33.261153534108594,37.38160503591477,0.612019803186524,21.78489275343349,2.3135851967321805,6.301485150686627,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
27,SOLO_R_N_CT_grid,SOLO_R·N·tuning,27. SOL|N_CT_grid,ElasticNet,33.261153534108594,37.38160503591477,0.612019803186524,21.78489275343349,0.0,6.301485150686627,vs previous: negligible change (<1 µm)
28,SOLO_R_A_ST_feature_noise,SOLO_R·A·ST,28. SOL|A_ST_fnoise,ElasticNet,31.04630895496855,40.50616987342629,0.5444500226796678,20.560324786648717,-2.2148445791400455,4.086640571546582,"vs previous: marginal improvement (<5 µm, not significant with n=10)"
29,SOLO_R_A_ST_feature_scaling,SOLO_R·A·ST,29. SOL|A_ST_fscale,ElasticNet,30.17538373254596,39.10906390282645,0.5753330021863728,20.05715580163005,-0.8709252224225885,3.215715349123993,vs previous: negligible change (<1 µm)
30,SOLO_R_A_ST_grouped_scaling,SOLO_R·A·ST,30. SOL|A_ST_gscale,ElasticNet,30.56951483835244,39.49557956356081,0.5668975383607244,20.437173565692788,0.3941311058064798,3.609846454930473,vs previous: negligible change (<1 µm)
31,SOLO_R_A_CT_random_feature_noise,SOLO_R·A·random,31. SOL|A_CTr_fnoise,ElasticNet,31.04630895496855,40.50616987342629,0.5444500226796678,20.560324786648717,0.4767941166161087,4.086640571546582,vs previous: negligible change (<1 µm)
32,SOLO_R_A_CT_random_feature_scaling,SOLO_R·A·random,32. SOL|A_CTr_fscale,ElasticNet,31.24386571766441,37.19559634847329,0.6158713304813686,20.521029601140388,0.19755676269586075,4.284197334242442,vs previous: negligible change (<1 µm)
33,SOLO_R_A_CT_random_grouped_scaling,SOLO_R·A·random,33. SOL|A_CTr_gscale,ElasticNet,31.578293642363196,37.24826807577777,0.6147826507431219,21.096541891808805,0.3344279246987867,4.618625258941229,vs previous: negligible change (<1 µm)
34,SOLO_R_A_CT_grid_feature_noise,SOLO_R·A·grid,34. SOL|A_CTg_fnoise,ElasticNet,31.04630895496855,40.50616987342629,0.5444500226796678,20.560324786648717,-0.5319846873946474,4.086640571546582,vs previous: negligible change (<1 µm)
35,SOLO_R_A_CT_grid_feature_scaling,SOLO_R·A·grid,35. SOL|A_CTg_fscale,ElasticNet,31.24386571766441,37.19559634847329,0.6158713304813686,20.521029601140388,0.19755676269586075,4.284197334242442,vs previous: negligible change (<1 µm)
36,SOLO_R_A_CT_grid_grouped_scaling,SOLO_R·A·grid,36. SOL|A_CTg_gscale,ElasticNet,31.578293642363196,37.24826807577777,0.6147826507431219,21.096541891808805,0.3344279246987867,4.618625258941229,vs previous: negligible change (<1 µm)
